-80.25575  236.95502
-76.14774  239.28971
-70.43478  243.18339
-65.56311  250.47381
-60.00000  258.54671
-55.45961  265.42736
-50.48593  271.83391
-45.35610  279.29208
-39.74425  287.19723
-34.77148  293.61246
-29.00256  300.48443
-24.18685  304.97408
-18.87468  308.78893
-13.60223  310.41819
-8.74680  310.44983
-3.01760  311.60169
1.07417  312.11073
4.45013  309.20415
7.21228  308.37370
10.58824  309.61938
13.35038  310.86505
18.15165  308.05118
23.78517  304.63668
28.73627  299.23409
34.52685  293.01038
39.32090  287.10320
44.96164  280.13841
49.90552  273.55210
54.16880  268.51211
60.49015  261.83543
66.13811  255.22491
71.07477  249.58618
74.11765  245.67474
78.77268  242.97041
