-81.9588  58.5430
-74.2268  65.9603
-67.2324  87.4203
-60.8921  120.3177
-54.0642  154.8718
-47.2363  187.1761
-40.8961  220.1766
-35.0436  250.6359
-27.7280  283.3533
-23.1959  296.8212
-17.9738  310.6020
-12.6804  315.3642
-7.2443  319.3212
-0.6186  320.9272
3.4853  316.7515
6.1856  307.9470
9.8969  314.4371
14.2149  313.8983
20.1031  299.6026
23.9691  290.5011
32.2601  256.6060
36.8041  236.5563
39.5757  223.4488
46.8914  189.5345
54.6947  157.1867
62.6199  124.0879
71.1792  92.2495
78.2474  75.2318
86.8834  71.5351
